# PSIBLAST 2.9.0+
# Iteration: 1
# Query: 
# Database: ../uniprotPF00018proteins.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 125 hits found
1	P46109	37.500	48	28	2	1	48	129	174	2.62e-12	52.1
1	A8MVU1	32.653	49	30	2	1	49	138	183	3.20e-12	52.1
1	A8MVU1	23.077	39	28	1	11	49	217	253	9.56e-06	33.6
1	Q5T0N5	34.000	50	30	3	1	49	544	591	5.93e-12	51.3
1	Q12965	31.250	48	30	2	1	48	1057	1101	1.19e-11	50.1
1	P15498	36.000	50	28	3	1	49	788	834	1.45e-11	50.1
1	P15498	31.429	35	23	1	15	48	617	651	4.85e-06	34.3
1	A6NI72	30.612	49	31	2	1	49	163	208	1.89e-11	49.8
1	A6NI72	23.077	39	28	1	11	49	242	278	7.19e-06	34.0
1	P14598	30.612	49	31	2	1	49	162	207	2.01e-11	49.8
1	P14598	23.077	39	28	1	11	49	241	277	7.71e-06	34.0
1	P56945	33.333	51	28	3	1	48	9	56	2.19e-11	49.4
1	P12931	30.612	49	33	1	1	49	90	137	2.57e-11	49.4
1	O15259	38.298	47	27	2	2	48	159	203	2.93e-11	49.4
1	Q5TCZ1	33.333	39	24	1	11	49	181	217	7.10e-11	48.2
1	Q5TCZ1	36.585	41	24	1	9	49	279	317	1.14e-07	39.0
1	Q5TCZ1	29.787	47	29	2	5	49	1082	1126	1.22e-07	39.0
1	Q5TCZ1	30.769	39	25	1	11	49	855	891	2.15e-07	38.2
1	Q5TCZ1	24.444	45	31	2	5	49	458	499	1.79e-05	32.8
1	Q9Y5X1	28.571	49	35	0	1	49	6	54	1.30e-10	47.4
1	P42684	34.000	50	29	3	1	49	113	159	1.54e-10	47.1
1	P07948	30.612	49	32	2	1	49	69	115	2.65e-10	46.3
1	P00519	34.000	50	29	3	1	49	67	113	3.62e-10	46.3
1	Q13625	38.000	50	25	3	2	48	1064	1110	4.71e-10	45.9
1	Q9NZQ3	25.000	48	35	1	1	48	3	49	8.73e-10	45.1
1	A1X283	31.373	51	31	2	1	49	856	904	9.27e-10	45.1
1	A1X283	35.897	39	23	1	11	49	167	203	9.36e-10	44.7
1	A1X283	27.083	48	32	2	2	49	228	272	8.97e-09	42.1
1	A1X283	26.829	41	28	1	9	49	381	419	6.79e-06	34.0
1	P07947	26.531	49	35	1	1	49	97	144	1.28e-09	44.4
1	O94875	35.417	48	28	2	1	48	869	913	1.37e-09	44.4
1	O94875	29.787	47	32	1	2	48	945	990	2.65e-08	40.9
1	O94875	21.053	38	29	1	1	38	1047	1083	7.73e-06	34.0
1	Q8N157	26.531	49	34	2	1	49	1057	1103	1.42e-09	44.4
1	P08631	28.571	49	33	2	1	49	84	130	1.51e-09	44.4
1	P06241	24.490	49	36	1	1	49	88	135	2.19e-09	44.0
1	O75886	28.571	49	32	2	1	49	208	253	3.18e-09	43.6
1	Q13813	31.250	48	30	2	2	49	974	1018	3.24e-09	43.6
1	P51451	28.571	49	33	2	1	49	64	110	3.24e-09	43.6
1	Q13882	32.000	50	28	3	3	48	16	63	3.54e-09	43.2
1	P02549	31.250	48	30	2	2	49	984	1028	3.64e-09	43.2
1	P46108	35.417	48	29	2	1	48	138	183	4.22e-09	43.2
1	Q06187	32.653	49	31	2	1	49	220	266	4.86e-09	42.8
1	Q92783	28.571	49	32	2	1	49	216	261	5.41e-09	42.8
1	P09769	27.083	48	34	1	2	49	84	130	7.40e-09	42.4
1	Q7Z6J0	33.333	48	31	1	1	48	835	881	9.42e-09	42.1
1	Q7Z6J0	27.907	43	28	1	1	40	202	244	7.67e-07	36.7
1	Q7Z6J0	26.531	49	33	2	1	49	140	185	1.10e-06	36.3
1	Q7Z6J0	27.083	48	34	1	1	48	451	497	2.34e-06	35.5
1	Q9BRR9	30.769	52	32	2	2	49	29	80	1.17e-08	41.7
1	Q12929	33.333	48	29	3	1	48	537	581	1.45e-08	41.7
1	Q9NR80	30.612	49	31	2	1	49	200	245	1.61e-08	41.3
1	Q9NZM3	31.915	47	28	2	6	49	1064	1109	2.20e-08	40.9
1	Q9NZM3	18.750	48	35	3	2	49	988	1031	1.53e-07	38.6
1	Q9NZM3	20.833	48	35	2	2	49	1134	1178	4.26e-07	37.4
1	Q9NZM3	24.000	50	33	3	1	48	763	809	7.68e-06	34.0
1	Q9NZM3	24.324	37	25	2	12	48	914	947	2.86e-05	32.4
1	Q96N96	28.571	49	32	2	1	49	153	198	2.39e-08	40.9
1	Q8N5V2	30.769	39	27	0	11	49	627	665	3.00e-08	40.5
1	Q92882	26.531	49	33	2	1	49	18	63	3.21e-08	40.5
1	Q8TEJ3	29.167	48	33	1	1	48	829	875	3.35e-08	40.5
